Entered simulation run.
Population initialized.
Variables initialized, preparing to begin simulation.
log average fitness in generation 1207, 359 generations after burn-in, is: -12.136409
log average fitness in generation 1208, 360 generations after burn-in, is: -12.157567
log average fitness in generation 1209, 361 generations after burn-in, is: -12.155888
log average fitness in generation 1210, 362 generations after burn-in, is: -12.148235
log average fitness in generation 1211, 363 generations after burn-in, is: -12.199668
log average fitness in generation 1212, 364 generations after burn-in, is: -12.223085
log average fitness in generation 1213, 365 generations after burn-in, is: -12.260114
log average fitness in generation 1214, 366 generations after burn-in, is: -12.305471
log average fitness in generation 1215, 367 generations after burn-in, is: -12.368765
log average fitness in generation 1216, 368 generations after burn-in, is: -12.407702
log average fitness in generation 1217, 369 generations after burn-in, is: -12.391955
log average fitness in generation 1218, 370 generations after burn-in, is: -12.370906
log average fitness in generation 1219, 371 generations after burn-in, is: -12.410829
log average fitness in generation 1220, 372 generations after burn-in, is: -12.409162
log average fitness in generation 1221, 373 generations after burn-in, is: -12.441157
log average fitness in generation 1222, 374 generations after burn-in, is: -12.465902
log average fitness in generation 1223, 375 generations after burn-in, is: -12.510995
log average fitness in generation 1224, 376 generations after burn-in, is: -12.506618
log average fitness in generation 1225, 377 generations after burn-in, is: -12.514146
log average fitness in generation 1226, 378 generations after burn-in, is: -12.506194
log average fitness in generation 1227, 379 generations after burn-in, is: -12.514074
log average fitness in generation 1228, 380 generations after burn-in, is: -12.532663
log average fitness in generation 1229, 381 generations after burn-in, is: -12.537683
log average fitness in generation 1230, 382 generations after burn-in, is: -12.586581
log average fitness in generation 1231, 383 generations after burn-in, is: -12.610533
log average fitness in generation 1232, 384 generations after burn-in, is: -12.597213
log average fitness in generation 1233, 385 generations after burn-in, is: -12.567904
log average fitness in generation 1234, 386 generations after burn-in, is: -12.549552
log average fitness in generation 1235, 387 generations after burn-in, is: -12.546474
log average fitness in generation 1236, 388 generations after burn-in, is: -12.573997
log average fitness in generation 1237, 389 generations after burn-in, is: -12.555828
log average fitness in generation 1238, 390 generations after burn-in, is: -12.567082
log average fitness in generation 1239, 391 generations after burn-in, is: -12.630569
log average fitness in generation 1240, 392 generations after burn-in, is: -12.634371
log average fitness in generation 1241, 393 generations after burn-in, is: -12.673089
log average fitness in generation 1242, 394 generations after burn-in, is: -12.696307
log average fitness in generation 1243, 395 generations after burn-in, is: -12.709564
log average fitness in generation 1244, 396 generations after burn-in, is: -12.734630
log average fitness in generation 1245, 397 generations after burn-in, is: -12.775381
log average fitness in generation 1246, 398 generations after burn-in, is: -12.759314
log average fitness in generation 1247, 399 generations after burn-in, is: -12.732353
log average fitness in generation 1248, 400 generations after burn-in, is: -12.791846
log average fitness in generation 1249, 401 generations after burn-in, is: -12.804509
log average fitness in generation 1250, 402 generations after burn-in, is: -12.813570
log average fitness in generation 1251, 403 generations after burn-in, is: -12.825476
log average fitness in generation 1252, 404 generations after burn-in, is: -12.835346
log average fitness in generation 1253, 405 generations after burn-in, is: -12.813406
log average fitness in generation 1254, 406 generations after burn-in, is: -12.786459
log average fitness in generation 1255, 407 generations after burn-in, is: -12.797365
log average fitness in generation 1256, 408 generations after burn-in, is: -12.717372
log average fitness in generation 1257, 409 generations after burn-in, is: -12.736342
log average fitness in generation 1258, 410 generations after burn-in, is: -12.717767
log average fitness in generation 1259, 411 generations after burn-in, is: -12.685582
log average fitness in generation 1260, 412 generations after burn-in, is: -12.740177
log average fitness in generation 1261, 413 generations after burn-in, is: -12.759067
log average fitness in generation 1262, 414 generations after burn-in, is: -12.718335
log average fitness in generation 1263, 415 generations after burn-in, is: -12.695017
log average fitness in generation 1264, 416 generations after burn-in, is: -12.720212
log average fitness in generation 1265, 417 generations after burn-in, is: -12.691153
log average fitness in generation 1266, 418 generations after burn-in, is: -12.641867
log average fitness in generation 1267, 419 generations after burn-in, is: -12.679406
log average fitness in generation 1268, 420 generations after burn-in, is: -12.691004
log average fitness in generation 1269, 421 generations after burn-in, is: -12.643371
log average fitness in generation 1270, 422 generations after burn-in, is: -12.620446
log average fitness in generation 1271, 423 generations after burn-in, is: -12.606883
log average fitness in generation 1272, 424 generations after burn-in, is: -12.613433
log average fitness in generation 1273, 425 generations after burn-in, is: -12.654817
log average fitness in generation 1274, 426 generations after burn-in, is: -12.694666
log average fitness in generation 1275, 427 generations after burn-in, is: -12.673119
log average fitness in generation 1276, 428 generations after burn-in, is: -12.719888
log average fitness in generation 1277, 429 generations after burn-in, is: -12.721053
log average fitness in generation 1278, 430 generations after burn-in, is: -12.734262
log average fitness in generation 1279, 431 generations after burn-in, is: -12.757453
log average fitness in generation 1280, 432 generations after burn-in, is: -12.768803
log average fitness in generation 1281, 433 generations after burn-in, is: -12.840778
log average fitness in generation 1282, 434 generations after burn-in, is: -12.791893
log average fitness in generation 1283, 435 generations after burn-in, is: -12.776333
log average fitness in generation 1284, 436 generations after burn-in, is: -12.796657
log average fitness in generation 1285, 437 generations after burn-in, is: -12.773019
log average fitness in generation 1286, 438 generations after burn-in, is: -12.821413
log average fitness in generation 1287, 439 generations after burn-in, is: -12.846207
log average fitness in generation 1288, 440 generations after burn-in, is: -12.864798
log average fitness in generation 1289, 441 generations after burn-in, is: -12.821451
log average fitness in generation 1290, 442 generations after burn-in, is: -12.838969
log average fitness in generation 1291, 443 generations after burn-in, is: -12.835714
log average fitness in generation 1292, 444 generations after burn-in, is: -12.850782
log average fitness in generation 1293, 445 generations after burn-in, is: -12.819997
log average fitness in generation 1294, 446 generations after burn-in, is: -12.799388
log average fitness in generation 1295, 447 generations after burn-in, is: -12.780273
